�,date,city,home_team,away_team,home_ft,away_ft,tournament
"1909-04-25,""Rotterdam, Netherlands"",Netherlands,Belgium,4,1,Friendly"
"1909-05-02,""Vienna, Austria"",Austria,Hungary,3,4,Friendly"
"1909-05-09,""Brussels, Belgium"",Belgium,France,5,2,Friendly"
"1909-05-29,""Budapest, Hungary"",Hungary,England,2,4,Friendly"
"1909-05-30,""Budapest, Hungary"",Hungary,Austria,1,1,Friendly"
"1909-05-31,""Budapest, Hungary"",Hungary,England,2,8,Friendly"
"1909-06-01,""Vienna, Austria"",Austria,England,1,8,Friendly"
"1909-08-15,""Buenos Aires, Argentina"",Argentina,Uruguay,2,1,Copa Lipton"
"1909-09-19,""Montevideo, Uruguay"",Uruguay,Argentina,2,2,Copa Newton"
"1909-10-10,""Buenos Aires, Argentina"",Argentina,Uruguay,3,1,Copa Premio Honor Argentino"
"1910-03-05,""Kilmarnock, Scotland"",Scotland,Wales,1,0,British Championship"
"1910-03-13,""Antwerp, Belgium"",Belgium,Netherlands,3,2,Friendly"
"1910-03-14,""Cardiff, Wales"",Wales,England,0,1,British Championship"
"1910-04-02,""Glasgow, Scotland"",Scotland,England,2,0,British Championship"
"1910-04-03,""Basel, Switzerland"",Switzerland,Germany,2,3,Friendly"
"1910-04-03,""Gentilly, France"",France,Belgium,0,4,Friendly"
"1910-04-10,""Haarlem, Netherlands"",Netherlands,Belgium,7,0,Friendly"
"1910-04-24,""Arnhem, Netherlands"",Netherlands,Germany,4,2,Friendly"
"1910-05-01,""Vienna, Austria"",Austria,Hungary,2,1,Friendly"
"1910-05-15,""Milan, Italy"",Italy,France,6,2,Friendly"
"1910-05-16,""Duisburg, Germany"",Germany,Belgium,0,3,Friendly"
"1910-05-26,""Budapest, Hungary"",Hungary,Italy,6,1,Friendly"
"1910-05-27,""Buenos Aires, Argentina"",Argentina,Chile,3,1,Friendly"
"1910-06-05,""Buenos Aires, Argentina"",Argentina,Chile,5,1,Friendly"
"1910-06-12,""Buenos Aires, Argentina"",Argentina,Uruguay,4,1,Friendly"
"1910-08-15,""Montevideo, Uruguay"",Uruguay,Argentina,3,1,Copa Lipton"
"1910-09-11,""Kristiania, Norway"",Norway,Sweden,0,4,Friendly"
"1910-09-11,""Viña del Mar, Chile"",Chile,Argentina,0,3,Friendly"
"1910-10-16,""Kleve, Germany"",Germany,Netherlands,1,2,Friendly"
"1910-11-06,""Budapest, Hungary"",Hungary,Austria,3,0,Friendly"
"1910-11-13,""Buenos Aires, Argentina"",Argentina,Uruguay,1,1,Copa Premio Honor Argentino"
"1910-11-27,""Buenos Aires, Argentina"",Argentina,Uruguay,2,6,Copa Premio Honor Argentino"
"1911-01-01,""Maisons-Alfort, France"",France,Hungary,0,3,Friendly"
"1911-01-06,""Milan, Italy"",Italy,Hungary,0,1,Friendly"
"1911-01-08,""Zürich, Switzerland"",Switzerland,Hungary,2,0,Friendly"
"1911-03-06,""Cardiff, Wales"",Wales,Scotland,2,2,British Championship"
"1911-03-13,""London, England"",England,Wales,3,0,British Championship"
"1911-03-19,""Antwerp, Belgium"",Belgium,Netherlands,1,5,Friendly"
"1911-03-26,""Stuttgart, Germany"",Germany,Switzerland,6,2,Friendly"
"1911-04-01,""Liverpool, England"",England,Scotland,1,1,British Championship"
"1911-04-02,""Dordrecht, Netherlands"",Netherlands,Belgium,3,1,Friendly"
"1911-04-09,""Saint-Ouen, France"",France,Italy,2,2,Friendly"
"1911-04-23,""Geneva, Switzerland"",Switzerland,France,5,2,Friendly"
"1911-04-23,""Liège, Belgium"",Belgium,Germany,2,1,Friendly"
"1911-04-30,""Uccle, Belgium"",Belgium,France,7,1,Friendly"
"1911-05-07,""Vienna, Austria"",Austria,Hungary,3,1,Friendly"
"1911-05-07,""Milan, Italy"",Italy,Switzerland,2,2,Friendly"
"1911-05-21,""La Chaux-de-Fonds, Switzerland"",Switzerland,Italy,3,0,Friendly"
"1911-06-18,""Solna, Sweden"",Sweden,Germany,2,4,Friendly"
"1911-08-15,""Buenos Aires, Argentina"",Argentina,Uruguay,0,2,Copa Lipton"
"1911-09-17,""Solna, Sweden"",Sweden,Norway,4,1,Friendly"
"1911-09-17,""Montevideo, Uruguay"",Uruguay,Argentina,2,3,Copa Newton"
"1911-10-08,""Montevideo, Uruguay"",Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo"
"1911-10-09,""Dresden, Germany"",Germany,Austria,1,2,Friendly"
"1911-10-22,""Helsinki, Finland"",Finland,Sweden,2,5,Friendly"
"1911-10-22,""Buenos Aires, Argentina"",Argentina,Uruguay,2,0,Copa Premio Honor Argentino"
"1911-10-29,""Hamburg, Germany"",Germany,Sweden,1,3,Friendly"
"1911-10-29,""Budapest, Hungary"",Hungary,Switzerland,9,0,Friendly"
"1911-10-29,""Montevideo, Uruguay"",Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo"
"1911-10-29,""Luxembourg, Luxembourg"",Luxembourg,France,1,4,Friendly"
"1911-11-05,""Budapest, Hungary"",Hungary,Austria,2,0,Friendly"
"1911-12-17,""Munich, Germany"",Germany,Hungary,1,4,Friendly"
"1912-01-28,""Saint-Ouen, France"",France,Belgium,1,1,Friendly"
"1912-02-18,""Saint-Ouen, France"",France,Switzerland,4,1,Friendly"
"1912-02-20,""Antwerp, Belgium"",Belgium,Switzerland,9,2,Friendly"
"1912-03-02,""Edinburgh, Scotland"",Scotland,Wales,1,0,British Championship"
"1912-03-10,""Antwerp, Belgium"",Belgium,Netherlands,1,2,Friendly"
"1912-03-11,""Wrexham, Wales"",Wales,England,0,2,British Championship"
"1912-03-17,""Turin, Italy"",Italy,France,3,4,Friendly"
"1912-03-23,""Glasgow, Scotland"",Scotland,England,1,1,British Championship"
"1912-03-24,""Zwolle, Netherlands"",Netherlands,Germany,5,5,Friendly"
"1912-04-14,""Budapest, Hungary"",Hungary,Germany,4,4,Friendly"
"1912-04-28,""Dordrecht, Netherlands"",Netherlands,Belgium,4,3,Friendly"
"1912-05-05,""Vienna, Austria"",Austria,Hungary,1,1,Friendly"
"1912-05-05,""Sankt Gallen, Switzerland"",Switzerland,Germany,1,2,Friendly"
"1912-06-16,""Kristiania, Norway"",Norway,Sweden,1,2,Friendly"
"1912-06-20,""Gothenburg, Sweden"",Sweden,Hungary,2,2,Friendly"
"1912-06-23,""Kristiania, Norway"",Norway,Hungary,0,6,Friendly"
"1912-06-27,""Solna, Sweden"",Sweden,Finland,7,1,Friendly"
"1912-07-14,""Moscow, Russia"",Russia,Hungary,0,12,Friendly"
"1912-08-15,""Montevideo, Uruguay"",Uruguay,Argentina,2,0,Copa Lipton"
"1912-08-25,""Montevideo, Uruguay"",Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo"
"1912-09-22,""Buenos Aires, Argentina"",Argentina,Uruguay,0,1,Copa Premio Honor Argentino"
"1912-10-06,""Copenhagen, Denmark"",Denmark,Germany,3,1,Friendly"
"1912-10-06,""Avellaneda, Argentina"",Argentina,Uruguay,3,3,Copa Newton"
"1912-11-03,""Budapest, Hungary"",Hungary,Austria,4,0,Friendly"
"1912-11-03,""Gothenburg, Sweden"",Sweden,Norway,4,2,Friendly"
"1912-11-17,""Leipzig, Germany"",Germany,Netherlands,2,3,Friendly"
"1912-12-01,""Montevideo, Uruguay"",Uruguay,Argentina,1,3,Friendly"
"1912-12-22,""Genoa, Italy"",Italy,Austria,1,3,Friendly"
"1913-01-12,""Saint-Ouen, France"",France,Italy,1,0,Friendly"
"1913-02-16,""Brussels, Belgium"",Belgium,France,3,0,Friendly"
"1913-03-03,""Wrexham, Wales"",Wales,Scotland,0,0,British Championship"
"1913-03-09,""Geneva, Switzerland"",Switzerland,France,1,4,Friendly"
"1913-03-09,""Antwerp, Belgium"",Belgium,Netherlands,3,3,Friendly"
"1913-03-17,""Bristol, England"",England,Wales,4,3,British Championship"
"1913-04-05,""London, England"",England,Scotland,1,0,British Championship"
"1913-04-20,""Zwolle, Netherlands"",Netherlands,Belgium,2,4,Friendly"
"1913-04-20,""Saint-Ouen, France"",France,Luxembourg,8,0,Friendly"
"1913-04-27,""Vienna, Austria"",Austria,Hungary,1,4,Friendly"
"1913-05-01,""Turin, Italy"",Italy,Belgium,1,0,Friendly"
"1913-05-04,""Basel, Switzerland"",Switzerland,Belgium,1,2,Friendly"
"1913-05-18,""Budapest, Hungary"",Hungary,Sweden,2,0,Friendly"
"1913-05-18,""Freiburg, Germany"",Germany,Switzerland,1,2,Friendly"
"1913-05-25,""Copenhagen, Denmark"",Denmark,Sweden,8,0,Friendly"
"1913-06-08,""Stockholm, Sweden"",Sweden,Norway,9,0,Friendly"
"1913-06-15,""Vienna, Austria"",Austria,Italy,2,0,Friendly"
"1913-06-15,""Avellaneda, Argentina"",Argentina,Uruguay,1,1,Friendly"
"1913-07-09,""Avellaneda, Argentina"",Argentina,Uruguay,2,1,Friendly"
"1913-08-15,""Avellaneda, Argentina"",Argentina,Uruguay,4,0,Copa Lipton"
"1913-08-31,""Buenos Aires, Argentina"",Argentina,Uruguay,2,0,Copa Premio Honor Argentino"
"1913-09-14,""Moscow, Russia"",Russia,Norway,1,1,Friendly"
"1913-09-21,""Viña del Mar, Chile"",Chile,Argentina,0,2,Friendly"
"1913-10-05,""Stockholm, Sweden"",Sweden,Denmark,0,10,Friendly"
"1913-10-05,""Montevideo, Uruguay"",Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo"
"1913-10-26,""Budapest, Hungary"",Hungary,Austria,4,3,Friendly"
"1913-10-26,""Kristiania, Norway"",Norway,Sweden,1,1,Friendly"
"1913-10-26,""Hamburg, Germany"",Germany,Denmark,1,4,Friendly"
"1913-10-26,""Montevideo, Uruguay"",Uruguay,Argentina,1,0,Copa Newton"
"1913-11-02,""Verviers, Belgium"",Belgium,Switzerland,2,0,Friendly"
"1913-11-23,""Antwerp, Belgium"",Belgium,Germany,6,2,Friendly"
"1914-01-11,""Milan, Italy"",Italy,Austria,0,0,Friendly"
"1914-01-25,""Lille, France"",France,Belgium,4,3,Friendly"
"1914-02-08,""Luxembourg, Luxembourg"",Luxembourg,France,5,4,Friendly"
"1914-02-28,""Glasgow, Scotland"",Scotland,Wales,0,0,British Championship"
"1914-03-08,""Saint-Ouen, France"",France,Switzerland,2,2,Friendly"
"1914-03-15,""Antwerp, Belgium"",Belgium,Netherlands,2,4,Friendly"
"1914-03-16,""Cardiff, Wales"",Wales,England,0,2,British Championship"
"1914-03-29,""Turin, Italy"",Italy,France,2,0,Friendly"
"1914-04-05,""Genoa, Italy"",Italy,Switzerland,1,1,Friendly"
"1914-04-05,""Amsterdam, Netherlands"",Netherlands,Germany,4,4,Friendly"
"1914-04-26,""Amsterdam, Netherlands"",Netherlands,Belgium,4,2,Friendly"
"1914-05-03,""Vienna, Austria"",Austria,Hungary,2,0,Friendly"
"1914-05-17,""Berne, Switzerland"",Switzerland,Italy,0,1,Friendly"
"1914-05-17,""Copenhagen, Denmark"",Denmark,Netherlands,4,3,Friendly"
"1914-05-24,""Solna, Sweden"",Sweden,Finland,4,3,Friendly"
"1914-05-31,""Budapest, Hungary"",Hungary,France,5,1,Friendly"
"1914-06-21,""Solna, Sweden"",Sweden,Hungary,1,1,Friendly"
"1914-06-28,""Kristiania, Norway"",Norway,Sweden,0,1,Friendly"
"1914-07-05,""Solna, Sweden"",Sweden,Russia,2,2,Friendly"
